
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
| Gaia DR2 135589922808165376   | 045.14128351867   | +32.14002781838   | 135589922808165376   | 4.8224    | 0.0431   | 18.245    | 0.069    | -27.472    | 0.063    | 0     | 12.8310   | 0.0006   | 13.3829   | 0.0026    | 12.1506   | 0.0022    | 1.238      | 1.2322   | 0.5519   | 0.6803   | -2.13    | 1.61    | 4982.51   | 0.2273   | 0.1170     | -168.8834304   | 88.23553901   | -81.81332948   | 0.91046   | -3.399129915   | -14.62064101   | -4.569634694   |
| Gaia DR2 136649199182215936   | 042.91540039047   | +33.29148078163   | 136649199182215936   | 7.5924    | 0.0404   | 30.764    | 0.072    | -38.970    | 0.066    | 0     | 10.6375   | 0.0008   | 11.0133   | 0.0022    | 10.1262   | 0.0017    | 1.201      | 0.8871   | 0.3758   | 0.5113   | -2.74    | 0.78    | 5538.83   | 0.0677   | 0.0335     | -104.881456    | 60.49614428   | -51.84257634   | 1.14468   | -2.372531129   | -13.58291177   | -2.621828563   |
| Gaia DR2 138056569769285120   | 049.23976060614   | +35.47262908119   | 138056569769285120   | 4.6890    | 0.0618   | 16.552    | 0.088    | -27.355    | 0.061    | 0     | 12.2491   | 0.0008   | 12.8040   | 0.0014    | 11.5671   | 0.0028    | 1.238      | 1.2369   | 0.5549   | 0.6820   | -4.79    | 1.74    | 4995.62   | 0.8030   | 0.3855     | -181.0063157   | 89.95705889   | -68.01439808   | 1.01901   | -5.323155576   | -15.3963636    | -4.107825754   |
| Gaia DR2 138690648677624704   | 047.55160611893   | +35.84395284489   | 138690648677624704   | 4.7752    | 0.0715   | 18.231    | 0.122    | -29.215    | 0.082    | 0     | 11.3120   | 0.0023   | 11.7902   | 0.0075    | 10.6976   | 0.0059    | 1.222      | 1.0926   | 0.4782   | 0.6144   | -6.82    | 11.79   | 4991.50   | 0.6980   | 0.3463     | -175.0269415   | 92.49421      | -68.30468862   | 1.20881   | -5.964982892   | -17.71739206   | -4.45487437    |
| Gaia DR2 138709615253090176   | 047.05374778182   | +35.73536200234   | 138709615253090176   | 4.8389    | 0.0395   | 18.245    | 0.057    | -26.916    | 0.046    | 0     | 12.9435   | 0.0011   | 13.5144   | 0.0032    | 12.2498   | 0.0027    | 1.24       | 1.2646   | 0.5709   | 0.6938   | -2.10    | 1.97    | 4829.73   | 0.2173   | 0.1130     | -171.9202384   | 92.00925769   | -68.45154519   | 0.8904    | -2.162751165   | -13.83552588   | -4.160975682   |
| Gaia DR2 138878459007444864   | 045.58485904521   | +35.88312691001   | 138878459007444864   | 5.1440    | 0.0652   | 17.937    | 0.085    | -30.122    | 0.068    | 0     | 11.1025   | 0.0018   | 11.4521   | 0.0052    | 10.6212   | 0.0035    | 1.195      | 0.8309   | 0.3496   | 0.4813   | -4.07    | 1.29    | 5628.15   | 0.1280   | 0.0600     | -159.4466986   | 89.53628277   | -65.97188225   | 1.23112   | -4.391789079   | -14.400381     | -5.801910062   |
| Gaia DR2 139037368500882688   | 046.12236386360   | +36.82687469977   | 139037368500882688   | 5.3808    | 0.0609   | 20.199    | 0.082    | -28.969    | 0.070    | 0     | 11.5450   | 0.0015   | 11.9509   | 0.0040    | 11.0023   | 0.0031    | 1.207      | 0.9486   | 0.4059   | 0.5427   | -3.84    | 0.62    | 5345.00   | 0.0423   | 0.0180     | -153.2131028   | 86.45845399   | -59.90878901   | 1.10816   | -3.166563694   | -13.7365337    | -3.474615251   |
| Gaia DR2 139053036542249600   | 047.72123156795   | +35.78164174726   | 139053036542249600   | 4.9550    | 0.0647   | 17.665    | 0.117    | -27.812    | 0.076    | 0     | 12.2058   | 0.0005   | 12.6531   | 0.0016    | 11.6148   | 0.0013    | 1.22       | 1.0383   | 0.4472   | 0.5910   | -2.47    | 0.96    | 5136.99   | 0.1563   | 0.0780     | -168.9410125   | 88.68242091   | -65.75451402   | 1.01321   | -3.042359572   | -13.59558681   | -4.500850916   |
| Gaia DR2 141433861469651328   | 042.12618584535   | +36.89651221245   | 141433861469651328   | 6.2928    | 0.0677   | 25.784    | 0.118    | -33.127    | 0.080    | 0     | 10.3363   | 0.0007   | 10.6461   | 0.0028    | 9.8879    | 0.0021    | 1.195      | 0.7582   | 0.3098   | 0.4484   | -5.85    | 0.60    | 6330.13   | 0.0753   | 0.0373     | -125.7879617   | 79.91935978   | -55.16292737   | 1.31411   | -3.430189995   | -14.87377598   | -2.950910028   |
| Gaia DR2 141462105174941568   | 042.77282670799   | +36.77927995117   | 141462105174941568   | 4.7329    | 0.0582   | 17.199    | 0.092    | -26.878    | 0.071    | 0     | 12.7948   | 0.0006   | 13.3214   | 0.0030    | 12.1416   | 0.0019    | 1.229      | 1.1798   | 0.5265   | 0.6533   | -0.42    | 0.23    | 4915.00   | 0.0107   | 0.0060     | -168.4013717   | 104.7552129   | -72.86363839   | 0.92503   | -0.553512091   | -11.94204006   | -7.17575552    |
